English,Hindi
I,मैं
to,को
you,आप
it,यह
her,उसका
that,वह
his,उसका
me,मुझे
on,पर
at,पर
had,था
for,के लिए
but,लेकिन
him,उसका
said,कहा
be,होना
up,ऊपर
out,बाहर
look,देखना
have,पास
what,क्या
not,नहीं
just,अभी
they,वे
is,है
from,से
all,सभी
were,थे
back,पीछे
one,एक
if,अगर
when,कब
into,में
no,नहीं
there,वहाँ
I'm,मैं हूँ
could,सकना
don't,नहीं
ask,पूछना
time,समय
didn't,नहीं था
want,चाहना
them,उन्हें
over,ऊपर
your,आपका
or,या
been,गया
now,अब
an,एक
by,द्वारा
think,सोचना
hand,हाथ
it's,इसका
say,कहना
how,कैसे
around,आस-पास
head,सिर
did,किया
well,कुंआ
before,पहले
off,बंद
who,कौन
even,यहां तक ​​की
turn,मोड़
come,आना
smile,मुस्कान
way,रास्ता
really,वास्तव में
face,चेहरा
some,कुछ
right,सही
