English,Hindi
I,मैं
to,को
and,और
a,ए
of,का
was,था
he,वह
you,आप
it,यह
in,में
her,उसका
she,वह
that,वह
my,मेरा
his,उसका
me,मुझे
on,पर
with,साथ
at,पर
as,जैसा
had,था
for,के लिए
but,लेकिन
him,उसका
said,कहा
be,होना
up,ऊपर
out,बाहर
look,देखना
so,इसलिए
have,पास
what,क्या
not,नहीं
just,अभी
like,पसंद
go,जाना
they,वे
is,है
this,यह
from,से
all,सभी
we,हम
were,थे
back,पीछे
do,करना
one,एक
about,के बारे में
know,जानना
if,अगर
when,कब
get,पाना
then,तब
into,में
would,चाहेंगे
no,नहीं
there,वहाँ
I'm,मैं हूँ
could,सकना
don't,नहीं
ask,पूछना
down,नीचे
time,समय
didn't,नहीं था
want,चाहना
eye,आँख
them,उन्हें
over,ऊपर
your,आपका
are,हैं
or,या
been,गया
now,अब
an,एक
by,द्वारा
think,सोचना
see,देखना
hand,हाथ
it's,इसका
say,कहना
how,कैसे
around,आस-पास
head,सिर
did,किया
well,कुंआ
before,पहले
off,बंद
who,कौन
more,अधिक
even,यहां तक ​​की
turn,मोड़
come,आना
smile,मुस्कान
way,रास्ता
really,वास्तव में
can,कर सकना
face,चेहरा
other,अन्य
some,कुछ
right,सही
their,उनका
